TPLNR,FLTYP,Segment 1,Delimiter,Description
D015-PIP--Ab,4,D015,-,"D015 plus delimiter upper case 'PIP', double delimiter and insensitive letters"
D015-PIP--A2,4,D015,-,"D015 plus delimiter upper case 'PIP', double delimiter and mixed chars"
D015-PIP--A2a,4,D015,-,"D015 plus delimiter upper case 'PIP', double delimiter and mixed chars"
D015-PIP--A2A,4,D015,-,"D015 plus delimiter upper case 'PIP', double delimiter and mixed chars"
D015-PIP--zwy,4,D015,-,"D015 plus delimiter upper case 'PIP', double delimiter and lower letters"
D015-PIP--ZWY,4,D015,-,"D015 plus delimiter upper case 'PIP', double delimiter and upper letters"
D014-PIP- --,4,D014,-,"D014 plus delimiter upper case 'PIP' and mixed delimiters"
D014-PIP-1,4,D014,-,"D014 plus delimiter upper case 'PIP', delimiter and digit"
D014-PIP- 2,4,D014,-,"D014 plus delimiter upper case 'PIP', mixed delimiters and digit"
D014-PIP -3,4,D014,-,"D014 plus delimiter upper case 'PIP', mixed delimiters and digit"
D015-PIP 1+0,4,D015,-,"D015 plus delimiter upper case 'PIP', delimiter and addition"
D014-PIP123-43,4,D015,-,"D014 plus delimiter, mixed upper case letter, delimiter and digits"
D014-PIPOUT-985,4,D015,-,"D014 plus delimiter, mixed upper case letter, delimiter and digits"
D014-PIPOUT-9850,4,D015,-,"D014 plus delimiter, mixed upper case letter, delimiter and digits"
D014-PIP-OUT,4,D014,-,"D014 plus delimiter plus 'PIP' plus 'OUT'"
D014-PIP-0,4,D014,-,"D014 plus delimiter plus 'PIP' plus digit"
D015-PIP- 1,4,D015,-,"D015 plus delimiter plus 'PIP' plus mixed delimiters plus digit"
D015-PIP- A,4,D015,-,"D015 plus delimiter plus 'PIP' plus mixed delimiters plus upper letter"
D015-PIP- AB,4,D015,-,"D015 plus delimiter plus 'PIP' plus mixed delimiters plus upper letter"
D014-PIP- 02,4,D014,-,"D014 plus delimiter plus 'PIP' plus mixed delimiters plus digits"
D014-PIP-302,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits"
D014-PIP-3A2,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus chars"
D014-PIP-3a2,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus chars"
D014-PIP-3#2,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus chars"
D014-PIP-3$2,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus chars"
D014-PIP-07,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits"
D014-PIP-072,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits"
D014-PIP------072,4,D014,-,"D014 plus delimiter plus 'PIP' plus multiple delimiters plus digits"
D014-PIP-ABC,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus upper letters"
D014-PIP-abc,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus lower letters"
D014-PIP-aBc,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus mixed letters"
D015-PIP-072,4,D015,-,"D015 plus delimiter plus 'PIP' plus delimiter plus digits"
D015-PIP-1234,4,D015,-,"D015 plus delimiter plus 'PIP' plus delimiter plus digits"
D015-PIP-12345,4,D015,-,"D015 plus delimiter plus 'PIP' plus delimiter plus digits"
D015-PIP-123456,4,D015,-,"D015 plus delimiter plus 'PIP' plus delimiter plus digits"
D015-PIP-999,4,D015,-,"D015 plus delimiter plus 'PIP' plus delimiter plus digits"
D015-PIP        999,4,D015,-,"D015 plus delimiter plus 'PIP' plus multiple delimiters plus digits"
D014-PIP-OUT,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus 'OUT'"
D015-PIP-OUT,4,D015,-,"D015 plus delimiter plus 'PIP' plus delimiter plus 'OUT'"
D015-PIP-OUT1,4,D015,-,"D015 plus delimiter plus 'PIP' plus delimiter plus chars"
D015-PIP-OUT1-,4,D015,-,"D015 plus delimiter plus 'PIP' plus delimiter plus chars"
D014-PIP-123-123,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus digits"
D014-PIP-1234-1234,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus digits"
D014-PIP-OUT ,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus 'OUT' plus delimiter"
D014-PIP-OUT-,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus 'OUT' plus delimiter"
D014-PIP-OUT-OUT,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus 'OUT' plus delimiter plus 'OUT'"
D014-PIP-072 ,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter"
D014-PIP-073-,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter"
D014-PIP-074- -,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus mixed delimiters"
D014-PIP-075---,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus multiple delimiters"
D014-PIP-076---0,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus multiple delimiters plus digit"
D014-PIP-077---A,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus multiple delimiters plus upper letter"
D014-PIP-078---AA,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus multiple delimiters plus upper letters"
D014-PIP-079---AAA,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus multiple delimiters plus upper letters"
D014-PIP-080---AaA,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus multiple delimiters plus mixed letters"
D014-PIP-081---AAb,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus multiple delimiters plus mixed letters"
D014-PIP-082---A1b,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus multiple delimiters plus mixed chars"
D014-PIP-083---AAb,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus multiple delimiters plus mixed letters"
D014-PIP-084 PL72,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus mixed chars"
D014-PIP-085 123,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus digits"
D014-PIP-086 OUT,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus 'OUT'"
D014-PIP-087 OUT1,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus mixed chars"
D014-PIP-088 OUTA,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus mixed chars"
D015-PIP-OUL PL99,4,D015,-,"D015 plus delimiter plus 'PIP' plus delimiter plus upper letters plus delimiter plus mixed chars"
D015-PIP-1AB 7894,4,D015,-,"D015 plus delimiter plus 'PIP' plus delimiter plus mixed chars plus delimiter plus digits"
D015-PIP-ABC PL9,4,D015,-,"D015 plus delimiter plus 'PIP' plus delimiter plus upper letters plus delimiter plus mixed chars"
D015-PIP-A1C 98,4,D015,-,"D015 plus delimiter plus 'PIP' plus delimiter plus upper letters plus delimiter plus digits"
D015-PIP-AB2 755,4,D015,-,"D015 plus delimiter plus 'PIP' plus delimiter plus mixed chars plus delimiter plus digits"
D014-PIP-OUT-000,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus mixed chars plus delimiter plus digits"
D014-PIP-000 1191,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus digits"
D014-PIP-09-953,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus digits"
D014-PIP-046 4615,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus digits"
D014-PIP-047---615,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus multiple delimiters plus digits"
D014-PIP-048---OUT,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus multiple delimiters plus 'OUT'"
D014-PIP-049---4615,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus multiple delimiters plus digits"
D014-PIP-073 7305,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus digits"
D014-PIP-OUT-OUT-OUT,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus 'OUT' plus 'OUT' plus 'OUT'"
D014-PIP-1-12-123,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digit plus delimiter  plus digits plus delimiter  plus digits"
D014-PIP-12-123-1234,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus digits plus delimiter plus digits"
D014-PIP-12-12-1,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus digits plus delimiter plus digit"
D014-PIP-072 P-0,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus upper letter plus delimiter plus digit"
D014-PIP-072 PL-0,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus upper letters plus delimiter plus digit"
D014-PIP-072 PL7-0,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus mixed chars plus delimiter plus digit"
D014-PIP-072 PL72-0,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus mixed chars plus delimiter plus digit"
D014-PIP-072 89-1,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus digits plus delimiter plus digit"
D014-PIP-072 89-01,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus digits plus delimiter plus digits"
D014-PIP-072 89-012,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus digits plus delimiter plus digits"
D014-PIP-072 89-0123,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus digits plus delimiter plus digits"
D014-PIP-072 784-9,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus digits plus delimiter plus digits"
D014-PIP-072 784-94,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus digits plus delimiter plus digits"
D014-PIP-072 784-z,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus digits plus delimiter plus lower letter"
D014-PIP-072 7884-W,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus digits plus delimiter plus upper letter"
D014-PIP-072 7884-023,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus digits plus delimiter plus digits"
D014-PIP-072 8965-0234,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus digits plus delimiter plus digits"
D014-PIP-072 872-A,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus digits plus delimiter plus upper letter"
D014-PIP-072 872-a,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus digits plus delimiter plus lower letter"
D014-PIP-072 872-&,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus digits plus delimiter plus char"
D014-PIP-072 872-#,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus digits plus delimiter plus char"
D014-PIP-072 872-1,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus digits plus delimiter plus digit"
D014-PIP-072 872-2,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus digits plus delimiter plus digit"
D014-PIP-072 7-222,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus digits plus delimiter plus digits"
D014-PIP-072 72-222,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus digits plus delimiter plus digits"
D014-PIP-072 720-222,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus digits plus delimiter plus digits"
D014-PIP-072 7208-222,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus digits plus delimiter plus digits"
D014-PIP-072 PL72-333,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus mixed chars plus delimiter plus digits"
D014-PIP-OUT-1234-006,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus 'OUT' plus delimiter plus digits plus delimiter plus digits"
D014-PIP-073 789-038,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus digits plus delimiter plus digits"
D014-PIP-OUT-1234-A,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus 'OUT' plus delimiter plus digits plus delimiter plus upper letter"
D014-PIP-OUT-888-Z,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus 'OUT' plus delimiter plus digits plus delimiter plus upper letter"
D014-PIP--OUT---888----Z,4,D014,-,"D014 plus delimiter plus 'PIP' plus multiple delimiters plus 'OUT' plus multiple delimiters plus digits plus delimiter plus upper letter"
D014-PIP-072 123-a,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus digits plus delimiter plus lower letter"
D014-PIP 072-123 a,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus digits plus delimiter plus lower letter"
D014-PIP-072   123-c,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus multiple delimiters plus digits plus delimiter plus lower letter"
D014-PIP-073 789-1,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus digits plus delimiter plus digit"
D014-PIP-871-3_45 1,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus mixed chars plus delimiter plus digit"
D014-PIP-073 4123-0,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus digits plus delimiter plus digit"
D014 PIP-073-789 1,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus digits plus delimiter plus digit"
D014-PIP-OUT 7081,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus 'OUT' plus delimiter plus digits"
D014 PIP 034 FG34 857,2,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus mixed chars plus delimiter plus digits"
D014-PIP 034 FG34 857,2,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus mixed chars plus delimiter plus digits"
D014 PIP--034 FG34--857,2,D014,-,"D014 plus delimiter plus 'PIP' plus multiple delimiters plus digits plus delimiter plus mixed chars plus multiple delimiters plus digits"
D014-PIP-034-9874-124,2,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus digits plus delimiter plus digits"
D014-PIP-016 H_16-958,2,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus mixed chars plus delimiter plus digits"
D014-PIP-037 OUT-T,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus 'OUT' plus delimiter plus upper letter"
D014-PIP-074 PS74-022,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus mixed chars plus delimiter plus digits"
D014-PIP-073 OUT-059,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus 'OUT' plus delimiter plus digits"
D014-PIP-801 P_801-204,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus mixed chars plus delimiter plus digits"
D014-PIP-295 W-001,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus upper letters plus delimiter plus digits"
D014-PIP-295 WM-001,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus upper letters plus delimiter plus digits"
D014-PIP-295 WMA-001,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus upper letters plus delimiter plus digits"
D014-PIP-295 WMa-001,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus mixed chars plus delimiter plus digits"
D014-PIP-054 WM54-013,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus mixed chars plus delimiter plus digits"
D014-PIP-010 FD10-001,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus mixed chars plus delimiter plus digits"
D014-PIP-182 G_2-038,2,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus mixed chars plus delimiter plus digits"
D014-PIP-073 SL73-026,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus mixed chars plus delimiter plus digits"
D014-PIP-OUT-OUT-OUT-OUT,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus 'OUT' plus delimiter plus 'OUT' plus delimiter plus 'OUT'"
D014-PIP-123-123-123-123,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus digits plus delimiter plus digits"
D014-PIP-1234-1234-1234-1234,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus digits plus delimiter plus digits"
D014-PIP-072 123-a a,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus digits plus delimiter plus lower letter plus delimiter plus lower letter"
D014-PIP-072 1234-a c,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus digits plus delimiter plus lower letter plus delimiter plus lower letter"
D014-PIP-072 123-A A,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus digits plus delimiter plus upper letter plus delimiter plus upper letter"
D014-PIP-072 1234-A 1,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus digits plus delimiter plus upper letter plus delimiter plus digit"
D014-PIP-072 1234-A 11,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus digits plus delimiter plus upper letter plus delimiter plus digits"
D014-PIP-072 1234-A 111,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus digits plus delimiter plus upper letter plus delimiter plus digits"
D014-PIP-801 LINE-E-80_2,2,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus upper letters plus delimiter plus upper letter plus delimiter plus chars"
D014-PIP-032-OUT-3206-A,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus 'OUT' plus delimiter plus digits plus delimiter plus upper letter"
D014-PIP-032-374-3206-A,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus digits plus delimiter plus digits plus delimiter plus upper letter"
D014-PIP-OUT OUT-03206 A B,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus 'OUT' plus delimiter plus 'OUT' plus delimiter plus digits plus delimiter plus upper letter plus delimiter plus upper letter"
D014-PIP-032 OUT-03206 A B,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus 'OUT' plus delimiter plus digits plus delimiter plus upper letter plus delimiter plus upper letter"
D014-PIP-OUT Z-3216 Z Y,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus 'OUT' plus delimiter plus upper letter plus delimiter plus digits plus delimiter plus upper letter plus delimiter plus upper letter"
D014-PIP-OUT Z-3216 a b,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus 'OUT' plus delimiter plus upper letter plus delimiter plus digits plus delimiter plus lower letter plus delimiter plus lower letter"
D014-PIP-OUT Z-3216 a B,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus 'OUT' plus delimiter plus upper letter plus delimiter plus digits plus delimiter plus lower letter plus delimiter plus upper letter"
D014-PIP-OUT Z-3216 F f,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus 'OUT' plus delimiter plus upper letter plus delimiter plus digits plus delimiter plus upper letter plus delimiter plus lower letter"
D014-PIP-324-J-752 X W,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus upper letter plus delimiter plus digits plus delimiter plus upper letter plus delimiter plus upper letter"
D014-PIP-652 H-365$ X W,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus upper letter plus delimiter plus mixed chars plus delimiter plus upper letter plus delimiter plus upper letter"
D014-PIP-180-G-3#94 X1 W2 A,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus upper letter plus delimiter plus mixed chars plus delimiter plus mixed chars plus delimiter plus mixed chars plus delimiter plus upper letter"
D014-PIP-180-H-3#94 X1 W2 a,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus upper letter plus delimiter plus mixed chars plus delimiter plus mixed chars plus delimiter plus mixed chars plus delimiter plus upper letter"
D014-PIP-180-i-394 X1 W b,4,D014,-,"D014 plus delimiter plus 'PIP' plus delimiter plus digits plus delimiter plus lower letter plus delimiter plus digits plus delimiter plus mixed chars plus delimiter plus upper letter plus delimiter plus lower letter"
